id,ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,noi_dung_binh_luan_processed,label
7106,688,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ",29/04/2023,16:44,5,308500013,dễ_dàng thoải_mái,1
7107,685,Sử dụng dễ dàng. Rất thoải mái.,30/04/2023,14:57,5,422205164,thoải_mái,1
7108,683,"MÙI HƯƠNG DỄ CHỊU, LÀM MÁT NHANH, GIÁ THÀNH ỔN.",30/04/2023,9:27,5,422206537,ổn,1
7109,1384,"Da e hh thiên dầu bôi lên mát, thấm nhanh, dưỡng ẩm tốt, sáng ra da ko đổ dầu nhiều như lúc dùng skin1004. Nhưng mà dùng hơi hao",13/03/2022,11:19,5,422200306,bôi mát,1
7110,4188,"Không nên mua, sản phẩm quá kém và không đáng giá.",18/04/2023,15:07,1,422211878,sản_phẩm kém không_đáng,0
7111,241,làm sạch khá ổn. không có gây đổ dầu,16/10/2021,23:03,4,422206648,sạch ổn đổ,1
7112,1085,"Sử dụng dễ dàng, rất thoải mái, thư giãn tột độ",28/04/2023,10:00,5,308500018,dễ_dàng thoải_mái,1
7113,2989,"kem này xài oke lắm luôn ấy, chất kem trắng đặc, không mùi, 1 lần xài lấy 1 ít vừa đủ thôi là da đã mướt mườn mượt rồi",28/02/2022,9:44,5,422204167,xài trắng đặc_không_mùi xài mướt mườn mượt,1
7114,1856,"Dịu nhẹ, mình đã xài 1 thời gian dài",28/05/2022,17:47,5,224100009,dịu nhẹ xài,1
7115,1156,"sản phẩm khá tốt, nhẹ, phù hợp nhiều loại da, mình sẽ tiếp tục mua.",14/03/2022,9:45,5,200900037,tốt_nhẹ,1
7116,2200,"Không xứng đáng với giá tiền, chất lượng quá kém.",9/11/2020,16:16,1,308500015,không_xứng chất_lượng kém,0
7117,816,"Đây là loại nước tẩy trang ưng ý nhất của mình, dịu nhẹ, thơm thoang thoảng thanh mát, không kích ứng, không ửng đỏ, tẩy trang khá sạch :))",23/02/2020,13:35,5,100230057,ưng_ý dịu nhẹ mát không_ửng sạch,1
7118,1024,"Dùng tạm được nhưng có nhiều lỗi nhỏ, không ấn tượng.",18/11/2023,10:52,2,249500019,tạm không_ấn,0
7119,2226,"cái mùi ngọt xỉu muốn ăn luôn,dưỡng ẩm môi cực tốt,màu đo đỏ nhìn cái mỏ xinh lắm",7/3/2024,7:50,5,200500283,dưỡng_ẩm đo đỏ mỏ,1
7120,4377,tot,16/10/2018,13:39,5,100750038,,1
7121,2928,"dù là hay được so sánh với BNBG nhma mình thấy con này cấp ẩm không tốt bằng BNBG nhưng vẫn rất tốt trong tầm giá, với mình da dầu thì da đủ ẩm và thoải mái sau mấy ngày treat. 13k cho một cái mặt nạ thì không cần bàn cãi, 10/10",27/03/2024,22:14,5,422207148,khô sánh nhma lừa tốt_trọng tầm_giá thoải_mái,1
7122,1934,Tẩy da chết cho body và mặt đều rất ổn và thơm nha,18/11/2023,12:57,5,422207812,chết ổn thơm,1
7123,3075,"Mang về cái hộp méo mó biến dạng luôn:)) Định cho 3 sao nhưng nhận ra hộp bị rách vậy mình dễ mở hơn nên thôi Sản phẩm thì bọc kín lắm, nhưng mà không có miếng đè lên nên kem bị đổ lên nắp (như ảnh) Với giá này thì cũng không đòi hỏi gì thêm nữa :))",8/10/2024,23:32,4,357100008,méo_mó định rách bọc kín đè đổ không_đòi_hỏi,1
7124,196,"Hàng của hada thì yên tâm rồi gần như rất ít thấy ai kêu bị kích ứng. Đợt mình dùng em này còn thấy lỗ chân lông nhỏ đi nữa cơ, nhưng mn nhớ phải làm đúng theo quy trình, nhũ hoá kỹ, ai cẩn thận có thể lại thêm 1 lần bằng bông với tẩy trang dạng nước nữa. Nói chung ngon bổ rẻ tuyệt.",14/07/2022,19:48,5,224100022,yên_tâm kêu kích_ứng lỗ đi_nữa hóa bổ_rẻ,1
7125,2351,"Mùi hương dễ chịu, làm mát nhanh, giá thành ổn",1/5/2023,9:36,5,422206537,ổn,1
7126,763,""">",24/01/2022,14:33,5,100230057,,1
7127,2041,"Mình mua rất nhiều lần kem chống nắng ở sh rồi, mà đợt này kcn nghe mùi cồn nồng kinh khủng omg",18/10/2022,11:00,3,249500027,chống chống nồng dân_tộc,0
7128,245,OK lắm nè … ko đòi gì thêm hợp vs túi tiền.,25/09/2021,21:50,5,422208807,đồng_ý hợp,1
7129,2655,bông dạo này xừ ra quá. lau mà bị tưa lônh quad chừng,13/12/2022,10:31,3,422203809,xừ tưa lônh,0
7130,2687,ở tỉnh lẻ mà đặt tối 11h mà chiều hôm sau đã nhận hàng rồi :> Quá nhanh Chất lượng quá tốt luôn! Giá lại rất rẻ :> Lần sau sẽ ủng hộ shop nhiều,20/09/2020,5:19,5,243300007,quá_chóng chất_lượng rẻ ủng_hộ,1
7131,1207,5*,14/04/2020,12:30,5,345800001,,1
7132,1197,Sau một thời gian sd e này thì mình quay lại recomment cho M.n đây sp rất phù hợp vs làn dầu da mụn của mình luôn ý sạch nhẹ nhàng mà k căng nó còn giúp da mình giảm mụn mà còn sáng lên chút chút nửavs bớt đổ dầu .Các bạn đã dầu mụn nên tham khảo nha,21/07/2021,13:01,5,422217029,sản_phẩm sạch không_căng giúp mà_còn bớt đổ mụn,1
7133,504,"Mọi ng nên mua nha, mặt nạ đắp thích lắm.",27/11/2021,12:01,5,251900024,mặt_nạ đắp,1
7134,587,"Đáng lẽ cho 5 sao mà trừ 1 sao cái mùi hơi khó chịu. Finish đẹp, nâng tone nhe, khô ráo, kiềm dầu tạm, phù hợp hssv",28/08/2023,11:19,4,253900006,trừ đẹp nâng khô_ráo tạm,1
7135,4068,srm siu tốt rcm cho ai da dầu mụn làm sạch đủ mà không khô da,19/08/2023,20:52,5,422209042,rửa tốt_rcm mụn sạch,1
7136,3342,"sữa chống nắng chuẩn auth, thấm nhanh, sau khi thấm da mượt mịn sáng hơn da 1 chút thôi rất tự nhiên nhưng có mùi cồn",7/4/2019,10:37,5,223600009,chống thấm thấm tự_nhiên,1
7139,3154,"Thật tệ, đây là lần mua hàng đáng thất vọng nhất.",27/03/2022,17:12,1,308500004,tệ thất_vọng,0
7140,843,riêng mình da khô sao khi thoa lớp kem dưỡng thì thoa kem chống nắng này rất OK mịn bóng nhe mặt,21/09/2022,20:17,5,422210400,khô chống đồng_ý mịn,1
7141,138,Máttttt,23/06/2023,12:13,5,204000059,,1
7142,2340,"S ử dụng dễ dàng ,rất thoải mái, thư giãn tột độ",2/5/2023,10:56,5,308500015,dễ_dàng thoải_mái,1
7143,3208,em này dùng siuu thích luôn nhm k có tiền sài nhiều,6/1/2024,17:44,5,422220081,nhm sài,1
7144,2984,tot toi da dung sp nay rat lau roi,22/11/2019,17:34,5,223600003,,1
7145,3321,"Đóng gói cẩn thận, giao hàng nhanh chóng.",12/5/2022,10:36,4,422212097,cẩn_thận,1
7146,2147,bông tẩy trang rẻ hơn thị trường rất nhiều quá tốt,19/05/2019,18:57,5,422203807,rẻ,1
7147,470,"loại này tốt nè, mình bị dầu mụn xài thấy sạch hơn hẳn, mụn ẩn cũng đỡ hơn, nhưng phải kết hợp những bước khác hợp thì mới cải thiện nhiều nha",10/10/2023,12:49,5,100230057,mụn xài sạch đỡ kết_hợp hợp cải_thiện,1
7149,1306,Da mình hh thiên khô dùng 1 tuần da bị nổi mụn nhìu những vùng k bị mụn trc đây kể cả mấy vùng k có mụn ẩn cũng nổi nên sợ quá mình ngưng sd luôn :((( nma nghe tư vấn kiên trì dùng 3 tháng sẽ có hiệu quả nha nma mình thì k kiên nhẫn lắm nên mình vứt dùng klezit ms hiệu quả hơn nhìu,2/4/2022,19:23,4,253900004,thiên_khô nổi mụn sợ ngưng nma_nghệ nma không_kiên_nhẫn vứt hiệu_quả,1
7150,723,"Mink dùng bioderma cảm thấy hợp , không bị khích ứng da. Mình thường xuyên trang điểm nên việc tẩy trang và lựa chọn dòng tẩy trang phục hợp khá kĩ lưỡng. Dùng cho cả những bạn da nhạy cảm lẫn da dầu ạ. Mình dùng 2 năm nay rùi",14/04/2023,11:40,5,100230056,thường_xuyên tẩy lựa_chọn kĩ_lưỡng nhạy_cảm,1
7151,2682,bông mịn. xài ok.,29/03/2021,19:42,5,243300007,xài,1
7152,118,Hiệu quả lắm ạ,4/12/2023,9:02,5,205100137,hiệu_quả,1
7153,679,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",2/5/2023,10:00,5,422205163,dễ_dàng thoải_mái,1
7154,670,Hàng như quảng cáo nhưng không có gì vượt trội.,1/9/2020,11:08,3,308500018,,0
7155,1397,"Bao bì sản phẩm rất đẹp, cầm chắc tay. Chất kem mỏng nhẹ, trong suốt, thấm nhanh vào da. Mùi hương rất dễ chịu. Tổng quan sản phẩm rất tuyệt vời với mức giá phải chăng.",20/07/2021,10:35,5,422220469,đẹp mỏng nhẹ_trọng suốt thấm_chóng dễ_chịu sản_phẩm tuyệt_vời,1
7156,2309,sản phẩm tốt đáng để sử dụng,29/01/2024,12:06,5,308500037,,1
7157,399,"Sử dụng dễ dàng, rất thoải mái,thư giãn tột độ.",4/5/2023,10:30,5,308500018,dễ_dàng thoải_mái,1
7158,3311,"Chất lượng kém, không đáp ứng được mong đợi của tôi.",27/09/2023,0:31,2,223600009,kém đợi,0
7159,4415,Mình đã xài 4loại của dòng này rồi nên cho các bạn đánh giá nè nch là srm rất ok rửa x da mịn tơn k bị khô da loại than hoạt tính thì thu hẹp lỗ chân lông mụn đầu đen quá ok luôn hồng thì làm sáng nhẹ da sau 2-3 tuần sd loại xanh lá thì kiềm dầu sạch mụn sau 1 tuần sd loại xanh dương thì da bạn nào khô hay đang sd retinol thì mình đánh giá rất ok hãng này tuy lạ thật nhưng sd rất ok kcn đến mỹ phẫm k bị kích ứng gì hết ưng bụng thật sự,12/3/2024,11:17,5,248700105,xài nói_chuyện rửa đồng_ý rửa mịn không_bị khô hẹp lỗ mụn đen đồng_ý hồng nhẹ sạch mụn khô khô retinol đồng_ý hãng lạ đồng_ý chống mỹ_phẫm,1
7160,1552,Đã dùng 3 4 chai rồi và thật sự nó tốt nhưng nghiên về dưỡng ẩm nhiều hơn là phục hồi,3/6/2022,22:25,5,100210023,nghiên,1
7161,1826,tui dung bộ làm sạch của nhà la này cũng 5 năm rùi. da k có miếng mụn ẩn nào ...sạch dã mang. chan ái với da dầu lỗ chân lông to nhé,3/10/2023,16:05,5,204900025,sạch sạch,1
7162,59,em này dùng sau bước rửa mặt cực thích đã ẩm tonner không mùi dễ chịu trên da bao bì cứng cáp ❤️❤️❤️,7/5/2022,18:15,5,318900011,rửa ẩm_tonner không_mùi yêu,1
7163,3842,k hiệu quả lắm,14/11/2022,22:32,2,226200018,không_hiệu,0
7164,273,Dùng hợp cho da dầu,26/06/2021,23:08,5,422211447,,1
7165,1284,"Theo mình thấy thì loại này mình xài hợp quá trời :(( lựa chọn hàng đầu cho da nhạy cảm mình í. Hồi đợt mua chai to bị chôm mất đau gần chớt, nma khuyên mn nên sử dụng loại này nhe",24/09/2021,20:38,5,204900009,xài_hợp lựa_chọn í chôm đau chớt khuyên,1
7166,640,sai Ôk,28/05/2024,8:13,5,100230059,,1
7167,392,"Bữa tớ hết Floxia bác sỹ kê đơn, rửa tạm tuýp Nivea đc tặng có 2 ngày lên cục mụn bọc to tướng. Vội kiếm srm thay thế cho da dầu hỗn hợp nhạy cảm theo HL thì thấy ẻm quá là ổn luôn, rửa xong ko bị khô căng da. 10đ.",30/07/2023,14:02,5,422208976,bác_sỹ kê rửa tạm tuýp tặng vội kiếm mặt_thế hỗn_hợp nhạy_cảm ẻm ổn rửa khô căng,1
7168,3803,Sử dụng tốt cực thích,11/5/2021,7:31,5,224100007,,1
7169,1486,Gel hơi có mùi khó chịu một chút nhưng sài rất tốt,7/2/2021,19:16,5,204900056,một_chút,1
7170,744,"Không bao giờ mua lại, sản phẩm khiến tôi thất vọng.",13/09/2021,12:30,1,418800004,không_giờ sản_phẩm thất_vọng,0
7171,394,Sp cực kì tốt thấm nhanh,8/4/2021,11:57,5,204100003,cực_kì,1
7172,302,"Nói chứ dùng 4 chai rồi và lần nào cũng mua ở Hấkiii, dùng đc ẻm là mê luôn ko muốn đổi loại, hên sao mình toàn mua ngay lúc sale nên ngon bổ rẻ lắm luôn",23/02/2021,19:04,5,422204259,ẻm mê không_muốn_đổi giảm_giá bổ_rẻ,1
7173,170,"da mình là dầu chữ T, mụn viêm --> đánh giá sau khi dùng : - nắp xanh dương nhạt : xài ổn, không lây thêm mụn ẩn --> sẽ mua lại - nắp xanh dương đậm: xài lên mụn ẩn nhiều",18/11/2022,11:10,4,422206648,viêm xài ổn không_lây nắp_dương đậm_xài mụn_ẩn,1
7174,2283,Mịn màng và bớt tiết dầu hơn,5/12/2023,11:47,5,422206541,bớt tiết_dầu,1
7175,3282,"Thấy mọi người đánh giá cũnh tốt nên thử mua về,rất okee nha,bth kcn nhà biore nồng nặc mùi cồn nhưng e này lại có mùi thơm ngọt,lên da mát,lp finish đẹp,vì là dạng sữa nên dễ tán,ko nâng tone lố,rất tự nhiên nha(khi mình hết tiền thì mình sẽ tậu e này về,ngon rẻ,rất đáng thử)",28/01/2024,12:53,5,213300016,thử chống nồng_nặc thơm đẹp tán nâng tự_nhiên tậu rẻ thử,1
7176,2559,"Đúng là chân ái của đời mình. Nâng tông tự nhiên, thoáng da, nhẹ mặt. 10đ không có nhưng nha.",18/05/2024,13:57,5,308900002,nâng thoáng nhẹ,1
7177,1,"siêu sạch dầu nhưng hơi khô tí, mụn thì chưa thấy cải thiện gì cả.",2/11/2024,0:36,4,100190059,sạch khô,1
7178,2390,"Sử dụng dễ dàng, rất thoải mái, thư giãn tột độ",28/04/2023,14:19,5,422205160,dễ_dàng thoải_mái,1
7179,2738,"Mình mua dư 1 chai sữa rữa mặt loại này. Nói chung là texture sẽ tương tự như centafil chuyên dành cho da nhạy cảm. Hàng mới còn full box, mình để lại giá 150k",15/06/2024,19:45,5,248700102,dư rữa tương_tự chuyên,1
7180,1084,Màu hồng sài thích lắm luôn. K cồn,2/3/2022,22:39,5,422220606,,1
7181,1430,"Đọc được review tốt về loại srm này dành cho da dầu nên tậu tuýp nhỏ dùng thử. Mùi thơm nhẹ. Tạo ít bọt tơi nên ko làm da kiểu bị sạch kin kít, mà có cảm giác mềm mịn. Đánh giá lần đầu sử dụng: tốt. Dịch vụ của Hasaki: tốt. Giá cả hợp lý.",22/09/2020,11:20,5,422217029,đọc rửa tậu thử thơm nhẹ không_làm sạch kít mềm,1
7182,35,"Sản phẩm dùng rất hiệu quả,cực kì phù hợp cho các bạn,giá thành oke nên mua nha",17/04/2023,13:48,5,100230064,hiệu_quả giá_thành,1
7183,285,sp lành tính dịu nhẹ không bị kho da sd xong cam thay da tro nen min hon,30/05/2021,15:44,5,205100136,dịu nhẹ,1
7184,1714,hàng tới tay đống gói cẩn thận chất lượng khỏi chê,22/11/2023,12:07,5,100240016,gói chất_lượng chê,1
7185,734,amzing goodjob,12/12/2020,19:22,5,422202253,,1
7186,2308,"rât hợp vs da dầu mụn ạ,",2/8/2024,21:59,5,308500009,rât_hợp mụn,1
7187,1472,"Dùng ổn lắm ạ, ko bị rít, mình đang dùng bha xài em này thấy dưỡng ẩm cũng tốt",26/05/2022,22:39,5,318900005,ổn rít xài,1
7188,172,Chân ái của tui,12/11/2022,22:04,5,422206648,,1
7189,2449,"mặt nạ rất ok, nếu có thể thì cho phần mũi dài thêm 1 chút vì bị hụt chân mũi",11/6/2020,19:40,5,422205163,hụt,1
7191,52,Không một sản phẩm nào khác có thể thay thế bông tẩy trang này. Quá hợp lý về giá và chất lượng Mềm mịn cho làn da,23/08/2022,21:52,5,207500008,hợp_lý chất_lượng mềm mịn,1
7192,46,như mọi ngừi củng thấy gi trên bao bì là chất glu nó chuyên về dưỡng trắn.mình mua 2 miếng dùng thử nó là mặt nạ dạng lứi ă nó rất to so với mặt mình đắp tới cổ.đắp cảm giác lạnh theo kiểu rát tê tê lun ă.đắp xong k trắng như mn rì viu nha mà nó kiểu khô da lắm phải cấp ẩm đầy đủ mới thấy da sáng dc chút nhưng hôm s k trắng bóng như bạn kia ns j bthw mình k đắp nạ hôm s da mình trắng và bóng còn đắp cái này nó ngược lại khô hơi sẫm sức kem chống nắng lên da củn k tệp vào mặt thua xa BNBG,16/07/2022,7:10,2,422200002,củng_thấy chuyên trắn miếng thử lứi đắp cảm_giác lạnh rát tê_tê đắp không_trắng khô bthw không_đắp_nạ trắng đắp ngược_lại khô sẫm_sức chống không_tệp thừa,0
7193,4034,tại sao e đặt 10 miếng mặt nạ 10 loại nhưng lại giao 1 loại thôi vậy,18/06/2022,14:55,4,365000018,,1
7194,2395,"Sử dụng dễ dàng, rất thoải mái , thư giãn tột độ",28/04/2023,9:35,5,422205162,dễ_dàng thoải_mái,1
7195,4025,Mih thấy giao hàng rất nhanh. Sử dụng máy rửa mặt được nửa tháng thấy ko bị hư hay gặp vấn đề gì cả. Cảm thấy da cũng sạch hơn nhiều.,4/8/2022,13:01,5,412800003,rửa hư khô sạch,1
7196,326,"Sd sp lần đầu tiên nhưng thấy khá tốt. Vì sp dạng gel nên khi thoa lên rất mỏng, cảm giác nhẹ mặt",2/10/2020,1:27,5,422209663,sản_phẩm dạng mỏng cảm_giác nhẹ,1
7197,3605,"dùng đủ thứ loại bây h dùng cái này thích quá, tối dùng sáng thấy căng mịn, môi ko còn vết rãnh ưng lắm, vừa thơm vừa nhỏ xinh, sẽ mua lại và dùng thử loại màu hồng",25/07/2021,10:09,5,225200015,căng mịn rãnh ưng thơm thử,1
7198,285,Giá hợp lí rất mềm êm.m dùng 2th roi moi het pin sac cung nhanh,21/11/2021,13:02,5,412800002,mềm_êm,1
7199,1407,"Ôi hãng đổi mẫu mới từ thành phần AHA sang BHA, bạn nào da nhạy cảm nhiều mụn ẩn nên cân nhắc mua. Thiệt tình, mua về thấy khác, check ra mới biết là bản mới",29/04/2024,22:28,4,422200632,đổi bha nhạy_cảm,1
7200,191,"sài loại này là không muốn đổi qua loại khác, tốt từ sp đến nhân viên và dịch vụ bên hasaki",1/8/2022,22:51,5,205100136,đổi dịch_vụ,1
7201,2067,"Lớp nền mỏng, lên tone hồng nhẹ nhàng, kiềm dầu mức trung bình, da thiên dầu nên cân nhắc nhé. Mình khá thích e này vì có thể làm lớp trang điểm mà k cần dặm phấn. Đánh giá 5 sao",14/07/2021,10:20,5,422203145,mỏng cân_nhắc,1
7202,2406,kiềm dầu tốt,4/3/2023,6:04,5,308500004,,1
7203,3736,"Khả năng làm sạch khá tốt, tẩy được cả son lì, eyeliner và mascara chống nước. Sau hơn 1 tháng sử dụng, da mình cảm giác sạch hơn, đỡ mụn hẳn, các nốt mụn đỏ, mụn viêm đỡ sưng hẳn, khả năng làm dịu da của ẻm khá tốt đấy. Em này không hề làm da bị nhờn rít sau khi dùng, nên không cần rửa lại với nước cũng được, lấy cớ đấy nên hôm nào làm biếng mình chỉ dùng ẻm rồi đi ngủ luôn. Ẻm giúp da mình giảm mụn đáng kể đấy",17/12/2020,14:49,5,377400001,sạch tốt_tẩy mascara chống cảm_giác sạch đỡ mụn đỏ mụn đỡ sưng dịu nhờn_rít không_cần_rửa làm_biếng đi ngủ giúp,1
7204,1746,Không có gì đáng chê nhưng cũng không xuất sắc.,11/5/2022,1:25,3,422216487,chê không_xuất_sắc,0
7205,1010,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",4/5/2023,18:38,5,308500009,dễ_dàng thoải_mái,1
7206,678,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",1/5/2023,14:18,5,308500004,dễ_dàng thoải_mái,1
7207,165,"Trộm vía là hợp với em này ngay lần dùng đầu tiền. Da không hề bị kích ứng và sau 2 tuần sử dụng thì mụn ẩn bắt đầu được đẩy lên, mình kết hợp dùng với serum Teana Super Peptide No Problem với AHA Megaduo thì thấy mụn se cồi rất nhanh và tính đến giờ là hơn 3 tuần thì thật sự mụn ẩn của mình đã được cải thiện hơn rất nhiều, sờ lên mặt thấy da mịn màng hơn rõ rệt luôn. Cả sợi bã nhờn ở đầu mũi với dưới cằm cũng hết luôn. Rất đỉnh luôn ấy!",7/9/2022,14:00,5,100240016,hợp kích_ứng tuần mụn_ẩn đẩy kết_hợp siêu_peptide không_vấn_đề mụn chóng mụn_ẩn cải_thiện sờ mịn_màng đỉnh,1
7208,137,"sau khi dùng môi hơi khô, tác dụng giảm thâm ít rõ ràng",2/7/2023,12:32,5,422209443,khô tác_dụng,1
7210,2411,Ok,31/10/2022,14:14,5,422202253,,1
7211,156,Anh mình da dầu xài nắp màu xanh nhạt rất ok không bị kích ứng đâu nha màu nay thì không mùi khi xài rất dễ chịu còn mình hay make up nên xài bản màu xanh đậm khi xài phải lắc nó lên sau khi tẩy xong thì còn lại một ít dầu trên mặt mình nhưng rửa xơ lại là ok hai bản này sài xong da sạch không đâu rát không khích ứng không mùi nói chung là rất ok nha,31/01/2023,23:39,5,422211447,xài nhạt đồng_ý không_bị_kích_ứng không_mùi_xài dễ_chịu khô xài lắc rửa xơ sạch rát không_khích đồng_ý,1
7212,1405,Sau một thời gian sử dụng mình đánh giá tuyệt vời quá. Dùng bạn này khiến cho da mình giảm được mụn rất nhiều. Các bạn nên mua và dùng thử nhaa. 1000đ,28/07/2024,19:50,5,422217029,tuyệt_vời mụn thử,1
7213,201,Sản phẩm tốt nhưng k có quà tặng. Làm mình tưởng có nên k mua btt.,18/06/2022,9:17,4,422206648,tặng tưởng,1
7214,3118,"Mình da dầu/hỗn hợp/mụn cảm thấy sd rất ổn áp nha mng, nhưng chỉ phù hợp v bạn nào dùng kem chống nắng thôi thì tẩy rất sạch còn makeup thì phải tẩy 2 lần. Điểm trừ là sau khi tẩy xong thì sẽ có lớp màn khá rít trên da phải rửa mặt lại liền nếu để lâu thì sẽ dễ lên mụn á.",6/11/2022,2:21,5,100190183,hỗn_hợp ổn_áp chống tẩy sạch tẩy trừ rít rửa,1
7215,1261,Mình muốn pass lại. Do mua nhầm. 100k Kb zalo 0388777041,11/3/2023,14:15,5,422206035,nhầm kết,1
7216,1444,"Dễ chịu, dùng rất dịu ra, giá thành ổn",3/5/2023,16:20,5,100190059,dịu ổn,1
7217,2902,chân ái của mình đây rồi,14/06/2023,5:58,5,422207283,,1
7218,1679,Hôm rồi mình mua 308k. Lần đầu mua mà Sài êm lắm rất thích. Sẽ mua tiếp khi dùng hết nè,12/8/2021,13:14,5,318900005,sài_êm tiếp,1
7219,3148,Mình da khô dùng chỉ có mê nha mn..mn thử đi. Rửa xong da mịn mượt lai thơm nữa,5/11/2023,7:06,5,357100011,khô mê thử đi rửa mượt_thơm,1
7220,2414,"Loại màu xanh chuyên cho da dầu mụn, nhưng có cồn ở gần đầu bảng thành phần, nên ai da nhạy cảm như mình và dị ứng với cồn cân nhắc, mùi nồng lắm với hơi hơi nóng. Còn về tác dụng mình hôm sau mặt có đẩy cồi mụn lên, bạn nào mụn ẩn nên dùng, cấp ẩm thì mức nhẹ nhàng",9/2/2022,23:25,4,422202253,chuyên mụn thành_phần nhạy_cảm dị_ứng cân_nhắc nồng nóng tác_dụng đẩy cồi mụn mụn_ẩn,1
7221,1059,Tẩy trang sạch lắm mà có một điểm trừ là cay mắt lắm,25/02/2024,22:27,5,422204906,sạch trừ,1
7222,579,"Da mình da dầu và nhạy cảm rất khó chọn kem chống nắng, nhưng loại này phải nói là 10đ ko có nhưng, mới thoa sẽ nâng tone nhiều nhưng khoảng 15-30p sẽ tệp vào da hết, thấm nhanh ko bết rít khó chịu, nhẹ mặt, có thể sau 2 tiếng dặm thêm cũng rất okie nhé !",30/11/2023,19:05,5,253900006,chống nâng tệp không_bết_rít dặm,1
7223,3155,"Mình dùng thấy oke nhưng em mình dùng bị ngứa da mặt. Chắc là kén da, tuy nhiên mình dùng thấy ổn lắm nhennn",11/2/2022,15:54,5,357100011,ngứa kén_nhiên ổn,1
7224,2252,"Sử dụng ổn, không có gì để nói nhiều.",27/04/2023,20:15,3,200500095,ổn,0
7225,84,"Trời ạ, em này phải nói lun ngoài cấp ẩm, em này còn cấp mụn tích cực luôn ý :)). Nói là dành cho da nhạy cảm nhưng có mùi hương liệu nên k dành cho mb da dị ứng mùi nha. Da mình khá khỏe, k nhạy cảm mà nhờ ẻm từ da k mụn sang mụn ẩn tè le, bonus thêm mụn bọc khá to( mình chưa bao h bị mụn bọc lun á). Còn mấy b da k bị dị ứng thì cứ tt dùng em này nha",29/06/2021,22:34,2,318900012,tích_cực không_dành dị_ứng khỏe không_nhạy_cảm ẻm mụn ẩn_tè mụn bọc,0
7226,2537,"Lúc trước da bị mụn sưng viêm, kiểu chỗ nào nó mọc là hay tái lại chỗ đó, stress cực. Sau đó mình đi da liễu được bác sĩ kê thuốc uống kèm với dùng cái này mỗi tối, da bớt mụn hẳn, mà không bị tái lại như trước nữa.",14/11/2020,22:50,5,204100023,mụn sưng mọc khô cực đi liễu bác_sĩ kê uống kèm bớt mụn không_bị tái_lại,1
7227,1608,"@Võ Đào, bạn ở đâu vậy ạ và cho mình sdt nhé",15/06/2022,12:14,5,327500002,đào,1
7228,363,"Mình da dầu xài rất ok. Sản phẩm nhẹ dịu, phù hợp để tẩy lớp kem chống nắng, đặc biệt ko làm khô da. Giá cả bình dân phù hợp với túi tiền sinh viên như mình. Sẽ tiếp tục ủng hộ Loreal và Hasaki. À mà a shipper dễ thương ghê á, ship nhanh và lịch sự nữa :))",26/10/2018,21:38,5,422211446,dầu_xài nhẹ_dịu tẩy chống khô bình_dân tiền_viên ủng_hộ shipper ghê_á,1
7229,3453,"Đã xài hết lọ thứ 4 rất ok nha mn , phục hoiofda rất tốt ko bị bết dính hay đổ dầu ,",14/03/2024,8:51,5,422201448,xài đồng_ý phục không_bị dính khô đổ,1
7230,683,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",30/04/2023,9:46,5,308500013,dễ_dàng thoải_mái,1
7231,2697,"Sài tốt lắm , không bị dính bông mềm nữa sài thiệt là thích",14/05/2019,11:04,5,243300007,mềm,1
7232,3858,sp nay theo nhu QC cua nha sx thi đang co tặng kem kem duong da ngay/dem 20ml. Ko biet ben Hasaki co quà km ko vay?,8/6/2019,12:23,5,100210020,tặng hasaki,1
7233,3580,không có gì để chê ai chê nữa khỏi xài đỡ tốn,14/11/2023,0:47,5,422206798,chê_chê xài đỡ tốn,1
7234,871,Sản phẩm dùng tốt,15/04/2023,15:05,5,422204795,,1
7235,2376,"Sử dụng dễ dàng, rất thoải mái, thư giãn tột độ",29/04/2023,16:21,5,422205164,dễ_dàng thoải_mái,1
7236,2307,xài mặt nạ này giảm mụn OK lắm,23/10/2024,10:23,5,308500013,xài đồng_ý,1
7237,1633,tẩy da chết này mình thấy cũng tạm ổn. thoa matxa sẽ ra gét. rửa mặt xong da trông sáng da và căng ra lúc đó thôi nha.,10/12/2021,23:47,5,245500010,chết tạm ổn gét rửa trông căng,1
7238,4142,ok lắm ạ,18/11/2023,10:53,5,422207812,đồng_ý,1
7239,182,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",28/04/2023,10:28,5,422205164,dễ_dàng thoải_mái,1
7240,1505,"đã sử dụng qua nhiều loại, hợp này là chân ái luôn, yêu olay",30/07/2024,10:18,5,422206035,yêu,1
7241,3378,Mê lắm luôn,11/2/2024,14:39,5,422208242,mê,1
